시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,원주시,B000009748,남원주중학교,중학교,2000-03-01,공립,본교,운영,강원도 원주시 단구동  1565-1,강원도 원주시 시청로  333(단구동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3226067,127.9451221,2017-09-05
강원도,원주시,B000009749,단구중학교,중학교,2004-05-28,공립,본교,운영,강원도 원주시 단구동  1675,강원도 원주시 단구로  405(단구동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3206251,127.9566485,2017-09-05
강원도,원주시,B000009750,태장중학교,중학교,2007-06-01,공립,본교,운영,강원도 원주시 태장동  720-1,강원도 원주시 치악로  2006(태장동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3577638,127.9596067,2017-09-05
강원도,원주시,B000009751,원주대성중학교,중학교,1955-04-06,사립,본교,운영,강원도 원주시 무실동  산123-1,강원도 원주시 북원로  2001(무실동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3282022,127.9205521,2017-09-05
강원도,원주시,B000009752,진광중학교,중학교,1967-09-26,사립,본교,운영,강원도 원주시 우산동  307-1,강원도 원주시 진광길  50(우산동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3735329,127.9359749,2017-09-05
강원도,원주시,B000009753,상지여자중학교,중학교,1964-03-06,사립,본교,운영,강원도 원주시 개운동  50-1,강원도 원주시 개운4길  25(개운동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3400598,127.9607876,2017-09-05
강원도,원주시,B000009754,원주삼육중학교,중학교,1963-02-13,사립,본교,운영,강원도 원주시 무실동  산139,강원도 원주시 북원로  1996(무실동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3260848,127.9239252,2017-09-05
강원도,원주시,B000009755,문막중학교,중학교,1950-10-30,공립,본교,운영,강원도 원주시 문막읍 문막리 237,강원도 원주시 문막읍 문막시장1길 58,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2017-02-06,37.3051732,127.8148778,2017-09-05
강원도,원주시,B000009756,부론중학교,중학교,1955-02-28,공립,본교,운영,강원도 원주시 부론면 법천리  1442,강원도 원주시 부론면 부귀로  35,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.2083799,127.7521154,2017-09-05
강원도,원주시,B000009757,지정중학교,중학교,1969-10-14,공립,본교,운영,강원도 원주시 지정면 간현리 795-1,강원도 원주시 지정면 능골길 19,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2017-02-06,37.3658413,127.8385662,2017-09-05
